"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de Biocombustíveis";"<p>As informações disponíveis são produção de biodiesel; e produção de etanol. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"biocombustíveis,etanol,produção";"5";"0";"38";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Movimentação de derivados de petróleo e biocombustíveis";"<p>Asfaltos - Divulga a movimentação de asfaltos pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Combustíveis de aviação - Divulga a movimentação de combustíveis de aviação (Gasolina e querosene de aviação) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Combustíveis líquidos - Divulga a movimentação de combustíveis líquidos (exceto combustíveis de aviação) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>GLP (Gás Liquefeito de Petróleo) - Divulga a movimentação de gás liquefeito de petróleo (GLP) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Lubrificantes - Divulga a movimentação de lubrificantes pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Solventes - Divulga a movimentação de solventes pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Transportador Revendedor Retalhista (TRR) - Divulga a movimentação de derivados pelos transportadores revendedores retalhistas (TRR), conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
";"Agente Regulado,GLP,Lubrificantes,Produto,Região Destinatário,Solventes,TRR,asfalto,atual,aviação,combustivel de aviação,combustivel liquido,formecedor,historico,vendas";"16";"0";"22";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Lista de Plataformas em Operação";"<p>Informações extraídas da base de dados do GeoANP.</p>
";"exploração e produção,gás natural,operação,petróleo,plataformas";"2";"0";"13";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Importações e exportações";"<p>As informações disponíveis são importações exportações de petróleo; importações de gás natural; importações e exportações de derivados petróleo; e importações e exportações de etanol. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"derivados de petróleo,etanol,etanol anidro,etanol hidratado,exportação de petróleo,gás natural,importação,importação de petróleo,importações,petróleo";"8";"0";"47";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Processamento de petróleo e produção de derivados";"<p>As informações disponíveis são processamento de petróleo; produção de derivados por refinaria; produção de gás combustível por refinaria; produção de derivados por central petroquímica; produção de derivados de xisto; e produção de derivados por outros produtores. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"Processamento de petróleo,Produção de derivados de xisto,Produção de derivados por central petroquímica,Produção de derivados por outros produtores,Produção de derivados por refinaria,Produção de gás combustível por refinaria,derivados de petróleo,produção";"12";"0";"8";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Vendas de derivados de petróleo e biocombustíveis";"<p>As informações disponíveis são vendas de derivados de petróleo e etanol; vendas de combustíveis por segmento; vendas de combustíveis por tipo; vendas anuais de etanol hidratado e derivados de petróleo por município; e vendas anuais de etanol hidratado e derivados de petróleo por estado. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"GLP,asfalto,derivados de petróleo,etanol,etanol hidratado,gasolina c,gasolina de aviação,municipios,oleo combustivel,oleo diesel,querosene de aviação,querosene iluminante,vendas";"44";"0";"142";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2022";"<p>O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2022 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2012-2021. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2022 representadas em metadados e no formato CSV.</p>
<p>A ANP não divulgará os dados de reservas internacionais provadas de petróleo e gás natural de 2021, porque o BP Statistical Review of World Energy 2022, nossa fonte de dados internacionais, ainda não publicou esses dados. Portanto serão repetidos os dados do Anuário de 2021.</p>
";"2 ciclo,Bacias Sedimentares,Blocos Econômicos,Brent,Ciclo da Oferta Permanente,Concessão de Blocos,GLP,GNL,Mar,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado da Licitações,Resultado das Rodadas,Rodada de Licitações,Spot,Vendas de QAV,WTI,b100,biocombustíveis,derivados de petróleo,etanol,etanol anidro,etanol hidratado,gasolina A,gás natural,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,terra,óleo diesel";"256";"0";"89";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel de Produtores de Derivados: Vendas de derivados de petróleo e biocombustíveis";"<p>São apresentados os dados referentes à quantidade de biodiesel vendido entre a UF de origem e a UF de destino informados pelos produtores de
biodiesel.</p>
";"Combustíveis,Movimentação,Vendas,biocombustíveis,biodiesel";"2";"0";"8";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel de Produtores de Derivados: Produção de biocombustíveis";"<p>A ANP propicia uma nova forma interativa de visualização dos dados de produção de etanol e biodiesel oriundos das declarações dos agentes via Sistema de Informações de Movimentação de Produtos (Simp).</p>
<p>Informações temporais relativas à produção regional, matéria-prima e tancagem de etanol e biodiesel podem ser obtidas a partir dos dados disponibilizados nesta página ou nos painéis dinâmicos do site da ANP.</p>
";"Biocombustíveis,Biodiesel,Capacidade,Combustíveis,Etanol,Matéria-Prima,Processamento,Produção,Tancagem,Tanque de Biodiesel,Tanque de Etanol";"16";"0";"77";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel de Produtores de Derivados: Processamento de petróleo e produção de derivados";"<p>A ANP propicia uma nova forma interativa de visualização dos dados de produção de combustíveis e derivados de petróleo oriundos das declarações dos agentes via Sistema de Informações de Movimentação de Produtos (Simp).</p>
<p>Informações temporais relativas ao processamento de petróleo e fator de utilização efetiva, participação das refinarias no processamento de petróleo, produção e operações de derivados nas refinarias, bem como produção de combustíveis em centrais petroquímicas e formuladores podem ser obtidas a partir do uso dessa ferramenta.</p>
";"CPQ,Combustível,Derivado,Formuladores,Petroquímica,Petróleo,Processamento,Produção,Refinarias,Refino,Tancagem,Tanques de Petróleo";"10";"0";"21";"0"
